[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.00%, 4.043MiB / 3.871GiB, 0.10%, 29.1kB / 13.7kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.8kB / 13.1kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 9.973MiB / 50MiB, 19.95%, 4.74kB / 2.04kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 94kB / 18.3kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.17%, 5.336MiB / 125MiB, 4.27%, 28.2kB / 15.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 36.63%, 10MiB / 3.871GiB, 0.25%, 6.09MB / 8.4MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.96%, 9.34MiB / 3.871GiB, 0.24%, 8.48MB / 6.21MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.8kB / 13.1kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.07%, 9.973MiB / 50MiB, 19.95%, 4.74kB / 2.04kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.57%, 23.02MiB / 500MiB, 4.60%, 94kB / 18.3kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.336MiB / 125MiB, 4.27%, 28.4kB / 15.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.34%, 10MiB / 3.871GiB, 0.25%, 6.1MB / 8.44MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.96%, 9.34MiB / 3.871GiB, 0.24%, 8.48MB / 6.21MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.8kB / 13.1kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.07%, 9.973MiB / 50MiB, 19.95%, 4.74kB / 2.04kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.57%, 23.02MiB / 500MiB, 4.60%, 94kB / 18.3kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.336MiB / 125MiB, 4.27%, 28.4kB / 15.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.34%, 10MiB / 3.871GiB, 0.25%, 6.1MB / 8.44MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.04%, 9.34MiB / 3.871GiB, 0.24%, 8.5MB / 6.23MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.8kB / 13.1kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.973MiB / 50MiB, 19.95%, 4.74kB / 2.04kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.44%, 23.02MiB / 500MiB, 4.60%, 96.1kB / 18.7kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 5.336MiB / 125MiB, 4.27%, 28.4kB / 15.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.79%, 10MiB / 3.871GiB, 0.25%, 6.12MB / 8.46MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.04%, 9.34MiB / 3.871GiB, 0.24%, 8.5MB / 6.23MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.8kB / 13.1kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.973MiB / 50MiB, 19.95%, 4.74kB / 2.04kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.44%, 23.02MiB / 500MiB, 4.60%, 96.1kB / 18.7kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 5.336MiB / 125MiB, 4.27%, 28.4kB / 15.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.79%, 10MiB / 3.871GiB, 0.25%, 6.12MB / 8.46MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.59%, 9.34MiB / 3.871GiB, 0.24%, 8.52MB / 6.25MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 96.1kB / 18.7kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.344MiB / 125MiB, 4.28%, 28.7kB / 15.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.00%, 10MiB / 3.871GiB, 0.25%, 6.14MB / 8.49MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.59%, 9.34MiB / 3.871GiB, 0.24%, 8.52MB / 6.25MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 96.1kB / 18.7kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.344MiB / 125MiB, 4.28%, 28.7kB / 15.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.00%, 10MiB / 3.871GiB, 0.25%, 6.14MB / 8.49MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.38%, 9.34MiB / 3.871GiB, 0.24%, 8.55MB / 6.27MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 23.02MiB / 500MiB, 4.60%, 96.2kB / 18.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.352MiB / 125MiB, 4.28%, 28.7kB / 15.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.13%, 10MiB / 3.871GiB, 0.25%, 6.16MB / 8.51MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.38%, 9.34MiB / 3.871GiB, 0.24%, 8.55MB / 6.27MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 23.02MiB / 500MiB, 4.60%, 96.2kB / 18.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.352MiB / 125MiB, 4.28%, 28.7kB / 15.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.13%, 10MiB / 3.871GiB, 0.25%, 6.16MB / 8.51MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.29%, 9.34MiB / 3.871GiB, 0.24%, 8.57MB / 6.28MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 96.2kB / 18.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.355MiB / 125MiB, 4.28%, 28.7kB / 15.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 36.74%, 10MiB / 3.871GiB, 0.25%, 6.18MB / 8.53MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.29%, 9.34MiB / 3.871GiB, 0.24%, 8.57MB / 6.28MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 96.2kB / 18.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.355MiB / 125MiB, 4.28%, 28.7kB / 15.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 36.74%, 10MiB / 3.871GiB, 0.25%, 6.18MB / 8.53MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.29%, 9.34MiB / 3.871GiB, 0.24%, 8.57MB / 6.28MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 96.2kB / 18.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.355MiB / 125MiB, 4.28%, 28.7kB / 15.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 36.74%, 10MiB / 3.871GiB, 0.25%, 6.18MB / 8.53MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.48%, 9.344MiB / 3.871GiB, 0.24%, 8.6MB / 6.3MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.25%, 23.02MiB / 500MiB, 4.60%, 96.2kB / 18.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.23%, 5.359MiB / 125MiB, 4.29%, 28.9kB / 15.8kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 42.17%, 10MiB / 3.871GiB, 0.25%, 6.19MB / 8.57MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.48%, 9.344MiB / 3.871GiB, 0.24%, 8.6MB / 6.3MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.25%, 23.02MiB / 500MiB, 4.60%, 96.2kB / 18.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.23%, 5.359MiB / 125MiB, 4.29%, 28.9kB / 15.8kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 42.17%, 10MiB / 3.871GiB, 0.25%, 6.19MB / 8.57MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.36%, 9.344MiB / 3.871GiB, 0.24%, 8.63MB / 6.32MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.33%, 23.02MiB / 500MiB, 4.60%, 98.4kB / 19.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.17%, 5.363MiB / 125MiB, 4.29%, 28.9kB / 15.8kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 37.32%, 10MiB / 3.871GiB, 0.25%, 6.21MB / 8.59MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.36%, 9.344MiB / 3.871GiB, 0.24%, 8.63MB / 6.32MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 10.9kB / 13.3kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.8kB / 2.11kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.33%, 23.02MiB / 500MiB, 4.60%, 98.4kB / 19.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.17%, 5.363MiB / 125MiB, 4.29%, 28.9kB / 15.8kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 37.32%, 10MiB / 3.871GiB, 0.25%, 6.21MB / 8.59MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.18%, 9.344MiB / 3.871GiB, 0.24%, 8.65MB / 6.34MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.05%, 2MiB / 50MiB, 4.00%, 11kB / 13.6kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 9.973MiB / 50MiB, 19.95%, 4.84kB / 2.15kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 98.4kB / 19.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.23%, 5.375MiB / 125MiB, 4.30%, 29.2kB / 15.9kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.52%, 10MiB / 3.871GiB, 0.25%, 6.23MB / 8.61MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.18%, 9.344MiB / 3.871GiB, 0.24%, 8.65MB / 6.34MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.05%, 2MiB / 50MiB, 4.00%, 11kB / 13.6kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 9.973MiB / 50MiB, 19.95%, 4.84kB / 2.15kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 23.02MiB / 500MiB, 4.60%, 98.4kB / 19.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.23%, 5.375MiB / 125MiB, 4.30%, 29.2kB / 15.9kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 38.52%, 10MiB / 3.871GiB, 0.25%, 6.23MB / 8.61MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.64%, 9.344MiB / 3.871GiB, 0.24%, 8.67MB / 6.36MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 11kB / 13.6kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 9.973MiB / 50MiB, 19.95%, 4.84kB / 2.15kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 23.02MiB / 500MiB, 4.60%, 98.4kB / 19.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.17%, 5.379MiB / 125MiB, 4.30%, 29.2kB / 15.9kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 36.81%, 10MiB / 3.871GiB, 0.25%, 6.25MB / 8.64MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.64%, 9.344MiB / 3.871GiB, 0.24%, 8.67MB / 6.36MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 11kB / 13.6kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 9.973MiB / 50MiB, 19.95%, 4.84kB / 2.15kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 23.02MiB / 500MiB, 4.60%, 98.4kB / 19.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.17%, 5.379MiB / 125MiB, 4.30%, 29.2kB / 15.9kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 36.81%, 10MiB / 3.871GiB, 0.25%, 6.25MB / 8.64MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.86%, 9.344MiB / 3.871GiB, 0.24%, 8.7MB / 6.38MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 11kB / 13.6kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.973MiB / 50MiB, 19.95%, 4.84kB / 2.15kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.15%, 23.02MiB / 500MiB, 4.60%, 98.4kB / 19.2kB, 27.8MB / 0B
